
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
abcd, interface, public,  No, general, No, Yes
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
A_B_C, class, public,  No, general, Yes, No
